Trace
Swept SA
A.33.03,N9020B
644600000,0.893448293209076
645700000,0.912894010543823
646800000,0.902207374572754
647900000,0.895930290222168
649000000,0.916110932826996
650100000,0.906894147396088
651200000,0.907966434955597
652300000,0.911978483200073
653400000,0.907171308994293
654500000,0.926617026329041
655600000,0.937243521213531
656700000,0.933906197547913
657800000,0.91146057844162
658900000,0.916207551956177
660000000,0.928303897380829
661100000,0.926436483860016
662200000,0.921629250049591
663300000,0.937400341033936
664400000,0.948761761188507
665500000,0.954978585243225
666600000,0.953111171722412
667700000,0.965207517147064
668800000,0.963340044021606
669900000,0.940894424915314
671000000,0.955195605754852
672100000,0.957737743854523
673200000,0.995556890964508
674300000,1.00177371501923
675400000,1.00872552394867
676500000,1.01494240760803
677600000,1.00352084636688
678700000,1.01047265529633
679800000,1.02771353721619
680900000,1.03833997249603
682000000,1.06440019607544
683100000,1.05371344089508
684200000,1.07242429256439
685300000,1.10436391830444
686400000,1.12454450130463
687500000,1.11385786533356
688600000,1.13550841808319
689700000,1.14962816238403
690800000,1.1940838098526
691900000,1.21061182022095
693000000,1.2087664604187
694100000,1.26057136058807
695200000,1.24770200252533
696300000,1.28407323360443
697400000,1.29031217098236
698500000,1.32227385044098
699600000,1.3468861579895
700700000,1.35606491565704
701800000,1.37332785129547
702900000,1.39867508411407
704000000,1.42108261585236
705100000,1.42658662796021
706200000,1.44384956359863
707300000,1.46772694587708
708400000,1.47837543487549
709500000,1.48975896835327
710600000,1.53200972080231
711700000,1.5397185087204
712800000,1.54889726638794
713900000,1.55881083011627
715000000,1.5650497674942
716100000,1.58745729923248
717200000,1.59296119213104
718300000,1.60728442668915
719400000,1.62969195842743
720500000,1.65577411651611
721600000,1.65172398090363
722700000,1.67707121372223
723800000,1.66346681118011
724900000,1.69689846038818
726000000,1.68383252620697
727100000,1.69723057746887
728200000,1.68564081192017
729300000,1.68654501438141
730400000,1.68744921684265
731500000,1.68541359901428
732600000,1.7017514705658
733700000,1.68501710891724
734800000,1.70502972602844
735900000,1.71034348011017
737000000,1.71198260784149
738100000,1.70553743839264
739200000,1.68586337566376
740300000,1.68382775783539
741400000,1.69722580909729
742500000,1.71576845645905
743600000,1.70932328701019
744700000,1.68156492710114
745800000,1.69422817230225
746900000,1.68998777866364
748000000,1.71293997764587
749100000,1.6859165430069
750200000,1.68608582019806
751300000,1.71050798892975
752400000,1.67907500267029
753500000,1.70055735111237
754600000,1.71763014793396
755700000,1.68399226665497
756800000,1.67387235164642
757900000,1.68286085128784
759000000,1.7014034986496
760100000,1.69422340393066
761200000,1.70909142494202
762300000,1.69603168964386
763400000,1.7329478263855
764500000,1.70371961593628
765600000,1.73696100711823
766700000,1.72022664546967
767800000,1.70643210411072
768900000,1.7382036447525
770000000,1.71705973148346
771100000,1.72952044010162
772200000,1.73825407028198
773300000,1.75727689266205
774400000,1.75204682350159
775500000,1.77694916725159
776600000,1.76142990589142
777700000,1.77016365528107
778800000,1.78918647766113
779900000,1.80673944950104
781000000,1.82796704769135
782100000,1.81318283081055
783200000,1.83514535427094
784300000,1.8255056142807
785400000,1.84158873558044
786500000,1.87825000286102
787600000,1.8752247095108
788700000,1.89571738243103
789800000,1.90224635601044
790900000,1.90951013565063
792000000,1.90428006649017
793100000,1.95049548149109
794200000,1.94747030735016
795300000,1.94811964035034
796400000,1.98919057846069
797500000,1.97734606266022
798600000,2.00518822669983
799700000,2.00363278388977
800800000,2.02853512763977
801900000,2.03359413146973
803000000,2.02395439147949
804100000,2.02533864974976
805200000,2.03701210021973
806300000,2.03545665740967
807400000,2.03831100463867
808500000,2.06174325942993
809600000,2.0660674571991
810700000,2.0770058631897
811800000,2.09382390975952
812900000,2.08785891532898
814000000,2.11423110961914
815100000,2.11635041236877
816200000,2.10230112075806
817300000,2.11893963813782
818400000,2.13541913032532
819500000,2.10633254051208
820600000,2.12060713768005
821700000,2.12091779708862
822800000,2.13519239425659
823900000,2.13476848602295
825000000,2.15124773979187
826100000,2.12289619445801
827200000,2.15848398208618
828300000,2.14630079269409
829400000,2.11941885948181
830500000,2.1256091594696
831600000,2.13179969787598
832700000,2.11888146400452
833800000,2.11919236183167
834900000,2.13052725791931
836000000,2.12789821624756
837100000,2.09219717979431
838200000,2.10794162750244
839300000,2.11119222640991
840400000,2.08725023269653
841500000,2.06551289558411
842600000,2.06582379341125
843700000,2.06172490119934
844800000,2.03851771354675
845900000,2.04617810249329
847000000,2.02738046646118
848100000,2.02622151374817
849200000,1.98611068725586
850300000,1.98936128616333
851400000,1.97497344017029
852500000,1.9591156244278
853600000,1.92993593215942
854700000,1.93044352531433
855800000,1.92948126792908
856900000,1.9005913734436
858000000,1.89595448970795
859100000,1.86485981941223
860200000,1.86242759227753
861300000,1.84676659107208
862400000,1.82522618770599
863500000,1.80956518650055
864600000,1.82256674766541
865700000,1.80470085144043
866800000,1.80814826488495
867900000,1.78734266757965
869000000,1.78197085857391
870100000,1.76116526126862
871200000,1.74403440952301
872300000,1.73278307914734
873400000,1.72741115093231
874500000,1.71615982055664
875600000,1.72842633724213
876700000,1.71129548549652
877800000,1.7235621213913
878900000,1.68585300445557
880000000,1.71428823471069
881100000,1.70818138122559
882200000,1.70721912384033
883300000,1.69155812263489
884400000,1.70676445960999
885500000,1.69771790504456
886600000,1.67470753192902
887700000,1.67742002010345
888800000,1.69924080371857
889900000,1.69239902496338
891000000,1.7068704366684
892100000,1.68826961517334
893200000,1.70641577243805
894300000,1.69001984596252
895400000,1.70669603347778
896500000,1.69764947891235
897600000,1.71873533725739
898700000,1.72960340976715
899800000,1.70862019062042
900900000,1.69351649284363
902000000,1.71075010299683
903100000,1.71328485012054
904200000,1.71287989616394
905300000,1.69704115390778
906400000,1.69663619995117
907500000,1.68300247192383
908600000,1.6656938791275
909700000,1.6866021156311
910800000,1.64871537685394
911900000,1.66962349414825
913000000,1.67362821102142
914100000,1.66219913959503
915200000,1.67134833335876
916300000,1.67829275131226
917400000,1.64467978477478
918500000,1.67471730709076
919600000,1.65036964416504
920700000,1.64880502223969
921800000,1.63915598392487
922900000,1.63538658618927
924000000,1.634556889534
925100000,1.61241400241852
926200000,1.61525893211365
927300000,1.60193526744843
928400000,1.61433434486389
929500000,1.61717939376831
930600000,1.60826528072357
931700000,1.59714651107788
932800000,1.58308792114258
933900000,1.58593285083771
935000000,1.57995855808258
936100000,1.56075549125671
937200000,1.55551612377167
938300000,1.54954183101654
939400000,1.55900120735168
940500000,1.55302691459656
941600000,1.54558277130127
942700000,1.55136752128601
943800000,1.52775466442108
944900000,1.5471613407135
946000000,1.53359818458557
947100000,1.53399884700775
948200000,1.55865252017975
949300000,1.55758333206177
950400000,1.54695999622345
951500000,1.55103528499603
952600000,1.53453242778778
953700000,1.54963195323944
954800000,1.54929769039154
